config,num_runs,mAP50_M_mean,mAP50_M_std,mAP50_M_cv,mAP50_M_min,mAP50_M_max,mAP50_M_median,mAP50_95_M_mean,mAP50_95_M_std
exp7_conservative,60,0.08006733333333334,0.026730369693567697,33.384863190441,0.00054,0.12443,0.08499000000000001,0.027385500000000004,0.00961412651047
exp4_low_lr,60,0.07219216666666665,0.023703700282664636,32.834172150715304,0.02204,0.12084,0.0733,0.022472166666666668,0.009211051411611198
exp3_small,53,0.07372000000000001,0.023490456572829742,31.864428340789118,0.02204,0.12084,0.07385,0.022623584905660375,0.009182708058406389
