input_laz,output_chm,status,error,hag_max_requested,resolution_requested,tag_hag_max,tag_resolution,tag_source_laz,tag_proc_date,width,height,resolution_x,resolution_y,crs,nodata,total_pixels,valid_pixels,nodata_pixels,nodata_pct,hag_min,hag_max_observed,hag_mean,hag_std,hag_p50,hag_p95,hag_p99
data/lamapuit/laz/436648_2022_madal.laz,data/lamapuit/chm_max_hag_13/436648_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436648_2022_madal.laz,2026-03-23T15:32:18.569311Z,5000,5000,0.2,0.2,,-9999.0,25000000,20976788,4023212,16.092848,0.0,1.2999999523162842,0.6544437408447266,0.6448346972465515,0.863747239112854,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/436648_2024_madal.laz,data/lamapuit/chm_max_hag_13/436648_2024_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,436648_2024_madal.laz,2026-03-23T15:31:56.699988Z,5000,5000,0.2,0.2,,-9999.0,25000000,18305197,6694803,26.779212,0.0,1.2999999523162842,0.7067548036575317,0.6419594287872314,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437646_2018_madal.laz,data/lamapuit/chm_max_hag_13/437646_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437646_2018_madal.laz,2026-03-23T15:32:01.880850Z,5000,5000,0.2,0.2,,-9999.0,25000000,17888524,7111476,28.445904,0.0,1.2999999523162842,0.582179605960846,0.6417409181594849,0.010034819133579731,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437646_2020_madal.laz,data/lamapuit/chm_max_hag_13/437646_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437646_2020_madal.laz,2026-03-23T15:32:15.389238Z,5000,5000,0.2,0.2,,-9999.0,25000000,18919436,6080564,24.322256,0.0,1.2999999523162842,0.6541543006896973,0.6438296437263489,0.7400000095367432,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437646_2024_madal.laz,data/lamapuit/chm_max_hag_13/437646_2024_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437646_2024_madal.laz,2026-03-23T15:32:24.761230Z,5000,5000,0.2,0.2,,-9999.0,25000000,19623426,5376574,21.506296,0.0,1.2999999523162842,0.7657471299171448,0.6278430819511414,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437647_2018_madal.laz,data/lamapuit/chm_max_hag_13/437647_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437647_2018_madal.laz,2026-03-23T15:32:24.761934Z,5000,5000,0.2,0.2,,-9999.0,25000000,17488868,7511132,30.044528,0.0,1.2999999523162842,0.45431822538375854,0.6151576638221741,3.7267966490617255e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437647_2020_madal.laz,data/lamapuit/chm_max_hag_13/437647_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437647_2020_madal.laz,2026-03-23T15:32:38.722823Z,5000,5000,0.2,0.2,,-9999.0,25000000,18622168,6377832,25.511328,0.0,1.2999999523162842,0.4962315857410431,0.6265805959701538,4.639844064513454e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437647_2022_madal.laz,data/lamapuit/chm_max_hag_13/437647_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437647_2022_madal.laz,2026-03-23T15:33:17.650289Z,5000,5000,0.2,0.2,,-9999.0,25000000,23521636,1478364,5.913456,0.0,1.2999999523162842,0.536774754524231,0.6325217485427856,0.018438801169395447,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437647_2024_madal.laz,data/lamapuit/chm_max_hag_13/437647_2024_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437647_2024_madal.laz,2026-03-23T15:32:49.493113Z,5000,5000,0.2,0.2,,-9999.0,25000000,18909787,6090213,24.360852,0.0,1.2999999523162842,0.5659903287887573,0.6369659900665283,0.016178058460354805,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437648_2018_madal.laz,data/lamapuit/chm_max_hag_13/437648_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437648_2018_madal.laz,2026-03-23T15:32:49.492304Z,5000,5000,0.2,0.2,,-9999.0,25000000,18222984,6777016,27.108064,0.0,1.2999999523162842,0.6508110165596008,0.6462969183921814,0.6153833866119385,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437648_2020_madal.laz,data/lamapuit/chm_max_hag_13/437648_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437648_2020_madal.laz,2026-03-23T15:33:10.692724Z,5000,5000,0.2,0.2,,-9999.0,25000000,20049353,4950647,19.802588,0.0,1.2999999523162842,0.7340782880783081,0.6404551267623901,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/437648_2024_madal.laz,data/lamapuit/chm_max_hag_13/437648_2024_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,437648_2024_madal.laz,2026-03-23T15:33:20.150837Z,5000,5000,0.2,0.2,,-9999.0,25000000,19776198,5223802,20.895208,0.0,1.2999999523162842,0.7971283197402954,0.6253282427787781,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/445396_2022_madal.laz,data/lamapuit/chm_max_hag_13/445396_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,445396_2022_madal.laz,2026-03-23T15:33:22.414519Z,5000,5000,0.2,0.2,,-9999.0,25000000,18852562,6147438,24.589752,0.0,1.2999999523162842,0.7797238230705261,0.6284734606742859,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/451397_2022_madal.laz,data/lamapuit/chm_max_hag_13/451397_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,451397_2022_madal.laz,2026-03-23T15:33:28.513370Z,3586,5000,0.2,0.2,,-9999.0,17930000,11796198,6133802,34.209715560513104,0.0,1.2999999523162842,0.7475935220718384,0.6349132657051086,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/470383_2022_madal.laz,data/lamapuit/chm_max_hag_13/470383_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,470383_2022_madal.laz,2026-03-23T15:33:36.341453Z,5000,4961,0.2,0.2,,-9999.0,24805000,12543019,12261981,49.43350534166499,0.0,1.2999999523162842,0.47331881523132324,0.6178685426712036,2.833180579031591e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/492473_2022_madal.laz,data/lamapuit/chm_max_hag_13/492473_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,492473_2022_madal.laz,2026-03-23T15:33:45.729416Z,5000,5000,0.2,0.2,,-9999.0,25000000,17239324,7760676,31.042704,0.0,1.2999999523162842,0.4790342152118683,0.6062639951705933,8.344358093381743e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/494475_2022_madal.laz,data/lamapuit/chm_max_hag_13/494475_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,494475_2022_madal.laz,2026-03-23T15:33:42.459770Z,5000,3828,0.2,0.2,,-9999.0,19140000,12672995,6467005,33.787904911180775,0.0,1.2999999523162842,0.6562624573707581,0.6349363327026367,0.5184817910194397,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/538424_2019_madal.laz,data/lamapuit/chm_max_hag_13/538424_2019_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,538424_2019_madal.laz,2026-03-23T15:33:43.712065Z,5000,5000,0.2,0.2,,-9999.0,25000000,11135644,13864356,55.457424,0.0,1.2999999523162842,0.7511858940124512,0.6343406438827515,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/538424_2021_madal.laz,data/lamapuit/chm_max_hag_13/538424_2021_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,538424_2021_madal.laz,2026-03-23T15:33:54.982335Z,5000,5000,0.2,0.2,,-9999.0,25000000,11834545,13165455,52.66182,0.0,1.2999999523162842,0.7400020956993103,0.6357636451721191,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/579543_2017_madal.laz,data/lamapuit/chm_max_hag_13/579543_2017_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,579543_2017_madal.laz,2026-03-23T15:34:06.291725Z,5000,5001,0.2,0.2,,-9999.0,25005000,11757584,13247416,52.979068186362724,0.0,1.2999999523162842,0.5199884176254272,0.6330209374427795,5.543682846109732e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/579543_2018_madal.laz,data/lamapuit/chm_max_hag_13/579543_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,579543_2018_madal.laz,2026-03-23T15:34:13.149155Z,5000,5000,0.2,0.2,,-9999.0,25000000,13379208,11620792,46.483168,0.0,1.2999999523162842,0.5230616927146912,0.6328834891319275,8.431878768533352e-07,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/579543_2019_madal.laz,data/lamapuit/chm_max_hag_13/579543_2019_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,579543_2019_madal.laz,2026-03-23T15:34:14.746607Z,5000,5000,0.2,0.2,,-9999.0,25000000,13574950,11425050,45.7002,0.0,1.2999999523162842,0.5954881906509399,0.6424986124038696,0.036664415150880814,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/579543_2020_madal.laz,data/lamapuit/chm_max_hag_13/579543_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,579543_2020_madal.laz,2026-03-23T15:34:27.210778Z,5000,5000,0.2,0.2,,-9999.0,25000000,13854647,11145353,44.581412,0.0,1.2999999523162842,0.5594149231910706,0.633091926574707,0.04999908059835434,1.2999999523162842,1.2999999523162842
