year,chm_name,chm_path,variant_id,source_root,relative_parent,mean_f1,mean_auc,mean_precision,mean_recall,mean_accuracy,n_models
2018,436646_2018_madal_exp_split_rgb_median_ground_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_ground/436646_2018_madal_exp_split_rgb_median_ground_last_20cm.tif,madal_exp_split_rgb_median_ground_last_20cm,lamapuit,cdw_experiments_436646/median_ground,0.3991045943304008,0.9457347447073474,0.9345959595959595,0.27272727272727276,0.9471337579617835,5
2018,436646_2018_madal_exp_return_chm13_median_ground_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646_2018_ground_last_vs_last2/median_ground/436646_2018_madal_exp_return_chm13_median_ground_last_20cm.tif,madal_exp_return_chm13_median_ground_last_20cm,lamapuit,cdw_experiments_436646_2018_ground_last_vs_last2/median_ground,0.39788359788359784,0.8055728518057285,0.6421428571428571,0.3090909090909091,0.9343949044585986,5
2024,436646_2024_madal_delta_vs_original_median_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2024_madal_delta_vs_original_median_all_all_20cm.tif,madal_delta_vs_original_median_all_all_20cm,lamapuit,cdw_experiments_436646/median_all,0.39745454545454545,0.9691206543967279,1.0,0.25555555555555554,0.9259668508287293,5
2018,436646_2018_madal_reclassified_rf_chm_max_hag_20cm_last2.tif,/workspace/data/lamapuit/chm_reclassified_drop13/rf_best_open_source/436646_2018_madal_reclassified_rf_chm_max_hag_20cm_last2.tif,madal_reclassified_rf_chm_max_hag_20cm_last2,lamapuit,chm_reclassified_drop13/rf_best_open_source,0.396445530027873,0.9177459526774594,0.42500700280112047,0.39090909090909093,0.9108280254777071,5
2018,436646_2018_madal_exp_intensity_04_13_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_exp_intensity_04_13_lowest_all_last2_20cm.tif,madal_exp_intensity_04_13_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.3871592148096315,0.9094022415940224,0.37073962399605154,0.43636363636363634,0.9152866242038217,5
2024,436646_2024_madal_exp_density_00_13_median_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2024_madal_exp_density_00_13_median_all_last_20cm.tif,madal_exp_density_00_13_median_all_last_20cm,lamapuit,cdw_experiments_436646/median_all,0.37979220779220785,0.8991820040899796,0.5307692307692308,0.3111111111111111,0.901657458563536,5
2018,436646_2018_madal_delta_vs_original_median_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2018_madal_delta_vs_original_median_all_last2_20cm.tif,madal_delta_vs_original_median_all_last2_20cm,lamapuit,cdw_experiments_436646/median_all,0.37776262551804346,0.9436799501867995,0.5585897435897437,0.2909090909090909,0.935031847133758,5
2018,436646_2018_madal_exp_return_chm13_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_exp_return_chm13_lowest_all_all_20cm.tif,madal_exp_return_chm13_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.3765229202037352,0.8875155666251556,0.7141666666666666,0.2727272727272727,0.9382165605095543,5
2018,436646_2018_madal_exp_intensity_04_13_lowest_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_exp_intensity_04_13_lowest_all_last_20cm.tif,madal_exp_intensity_04_13_lowest_all_last_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.36653201423938747,0.885398505603985,0.34944444444444445,0.41818181818181815,0.907643312101911,5
2018,436646_2018_madal_reclassified_rf_chm_max_hag_20cm_last.tif,/workspace/data/lamapuit/chm_reclassified_drop13/rf_best_open_source/436646_2018_madal_reclassified_rf_chm_max_hag_20cm_last.tif,madal_reclassified_rf_chm_max_hag_20cm_last,lamapuit,chm_reclassified_drop13/rf_best_open_source,0.3594885583257676,0.8451120797011209,0.3989880952380952,0.3363636363636363,0.9108280254777071,5
