raster,width,height,nodata,valid_pixels,min_val,max_val,p95,p99,above_clip_count,above_clip_pct,tag_hag_max
401675_2022_madal_chm_max_hag_20cm.tif,5000,3735,-9999.0,10568068,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
401676_2022_madal_chm_max_hag_20cm.tif,5000,3615,-9999.0,9756229,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
401677_2022_madal_chm_max_hag_20cm.tif,5000,3336,-9999.0,9792932,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
401678_2022_madal_chm_max_hag_20cm.tif,5000,3099,-9999.0,9294050,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436646_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17342964,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436646_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18981035,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436646_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,21274297,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436646_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18434364,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436647_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17743117,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436647_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19282042,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436647_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,21492474,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436647_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18683959,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436648_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17346535,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436648_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19069790,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436648_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,20976788,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
436648_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18305197,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437646_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17888524,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437646_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18919436,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437646_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19623426,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437647_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17488868,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437647_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18622168,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437647_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,23521636,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437647_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18909787,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437648_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18222984,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437648_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,20049353,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
437648_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19776198,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
445396_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18852562,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
451397_2022_madal_chm_max_hag_20cm.tif,3586,5000,-9999.0,11796198,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
470383_2022_madal_chm_max_hag_20cm.tif,5000,4961,-9999.0,12543019,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
492473_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17239324,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
494475_2022_madal_chm_max_hag_20cm.tif,5000,3828,-9999.0,12672995,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
538424_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,11135644,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
538424_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,11834545,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
579543_2017_madal_chm_max_hag_20cm.tif,5000,5001,-9999.0,11757584,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
579543_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,13379208,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
579543_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,13574950,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
579543_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,13854647,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
579543_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,13592479,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
579543_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,13774385,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
579543_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,13917962,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580535_2017_madal_chm_max_hag_20cm.tif,5000,5001,-9999.0,15034330,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580535_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17488875,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
