status,tile_id,year,dtm_variant,return_mode,input_laz,single_chm_tif,intensity_tif,density_tif,split_rgb_tif,baseline_tif,delta_vs_original_tif,reference_surface_tif,fused_surface_tif,fallback_mask_tif,fallback_trigger_fraction,single_chm_valid_px,band1_valid_px,band2_valid_px,band3_valid_px,band4_valid_px,band5_valid_px,intensity_points_used,intensity_min,intensity_max,error
ok,436646,2018,median_ground,all,data/lamapuit/laz/436646_2018_madal.laz,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_exp_return_chm13_median_ground_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_exp_intensity_04_13_median_ground_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_exp_density_00_13_median_ground_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_exp_split_rgb_median_ground_all_20cm.tif,data/lamapuit/chm_max_hag_13_drop/436646_2018_madal_chm_max_hag_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_delta_vs_original_median_ground_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_reference_surface_median_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_fused_surface_median_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/median_ground/436646_2018_madal_fallback_mask_median_ground_20cm.tif,0.0,12100088,12100064,8388,87836,94947,12100088,108523,13631.0,65535.0,
ok,436646,2018,lowest_all,all,data/lamapuit/laz/436646_2018_madal.laz,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_exp_return_chm13_lowest_all_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_exp_intensity_04_13_lowest_all_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_exp_density_00_13_lowest_all_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_exp_split_rgb_lowest_all_all_20cm.tif,data/lamapuit/chm_max_hag_13_drop/436646_2018_madal_chm_max_hag_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_delta_vs_original_lowest_all_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_reference_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_fused_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_fallback_mask_lowest_all_20cm.tif,0.0,16732943,16732943,69041,281894,342765,16732943,393513,13434.0,65535.0,
