raster,total,cdw,no_cdw,cdw_ratio
580543_2017_madal_chm_max_hag_20cm.tif,25,23,2,0.92
580543_2018_madal_chm_max_hag_20cm.tif,18,9,9,0.5
580543_2019_madal_chm_max_hag_20cm.tif,65,59,6,0.9076923076923077
580543_2020_madal_chm_max_hag_20cm.tif,65,61,4,0.9384615384615385
580543_2021_madal_chm_max_hag_20cm.tif,114,106,8,0.9298245614035088
580543_2022_madal_chm_max_hag_20cm.tif,47,42,5,0.8936170212765957
580543_2023_madal_chm_max_hag_20cm.tif,43,40,3,0.9302325581395349
581543_2017_madal_chm_max_hag_20cm.tif,16,11,5,0.6875
581543_2018_madal_chm_max_hag_20cm.tif,50,7,43,0.14
581543_2019_madal_chm_max_hag_20cm.tif,81,42,39,0.5185185185185185
581543_2020_madal_chm_max_hag_20cm.tif,97,63,34,0.6494845360824743
581543_2021_madal_chm_max_hag_20cm.tif,141,61,80,0.4326241134751773
581543_2022_madal_chm_max_hag_20cm.tif,134,33,101,0.2462686567164179
581543_2023_madal_chm_max_hag_20cm.tif,162,45,117,0.2777777777777778
582543_2018_madal_chm_max_hag_20cm.tif,33,15,18,0.45454545454545453
582543_2019_madal_chm_max_hag_20cm.tif,64,61,3,0.953125
582543_2020_madal_chm_max_hag_20cm.tif,81,78,3,0.9629629629629629
582543_2021_madal_chm_max_hag_20cm.tif,80,75,5,0.9375
582543_2022_madal_chm_max_hag_20cm.tif,46,42,4,0.9130434782608695
582543_2023_madal_chm_max_hag_20cm.tif,50,36,14,0.72
601546_2019_madal_chm_max_hag_20cm.tif,25,23,2,0.92
601546_2020_madal_chm_max_hag_20cm.tif,19,16,3,0.8421052631578947
601546_2021_madal_chm_max_hag_20cm.tif,50,28,22,0.56
601546_2022_madal_chm_max_hag_20cm.tif,27,20,7,0.7407407407407407
601546_2023_madal_chm_max_hag_20cm.tif,34,30,4,0.8823529411764706
601546_2024_madal_chm_max_hag_20cm.tif,32,19,13,0.59375
