role,stripes,positive_px,negative_px,ignored_px,valid_px,total_px,positive_valid_pct,valid_total_pct
Püsiv testala,0,61844,4938156,0,5000000,5000000,1.23688,100.0
Fold 0 treening,"2, 3, 4",63636,2378099,12558265,2441735,15000000,2.6061796222767826,16.278233333333333
Fold 0 valideerimine,1,101104,3901241,997655,4002345,5000000,2.5261190626994923,80.0469
Fold 1 treening,1,101104,3901241,997655,4002345,5000000,2.5261190626994923,80.0469
Fold 1 valideerimine,"2, 3, 4",63636,2378099,12558265,2441735,15000000,2.6061796222767826,16.278233333333333
