experiment_id,model_name,data_strategy,loss_name,regularization,epochs,batch_size,lr_head,lr_backbone,label_smoothing,patience,seed,use_tta,n_samples,mean_cv_auc,std_cv_auc,mean_cv_f1,std_cv_f1,mean_cv_precision,mean_cv_recall,best_fold_f1,worst_fold_f1,mean_threshold,training_time_s
s1_convnext_small_full_ce_mixup_40_5_3b1439db,convnext_small,full,ce,mixup,40,32,0.0005,5e-05,0.05,10,2027,False,32415,0.9987268229968785,0.0006957304185226138,0.9881644777969235,0.0031456173323006465,0.9906925547236224,0.9856538354251485,0.9935175707949505,0.9844128853481122,0.8579999999999999,24663.21947316
s1_efficientnet_b2_full_ce_mixup_40_5_7a5bb15c,efficientnet_b2,full,ce,mixup,40,32,0.0005,5e-05,0.05,10,2030,False,32415,0.9989819344498366,0.0003646191127786334,0.9830078371006017,0.003564485210382468,0.989446631700346,0.9766614193090467,0.9879253567508233,0.9771784232365145,0.752,10995.368331231002
s1_maxvit_small_full_ce_mixup_3_2_b75ef730,maxvit_small,full,ce,mixup,3,8,0.0005,5e-05,0.05,2,2027,False,19812,0.9932202090136797,0.0008362725923411474,0.9349224902099632,0.0022591736270486384,0.9636241832624262,0.9079581941823069,0.9371816638370118,0.9326633165829146,0.845,38724.214428676
s1_convnextv2_small_full_ce_mixup_40_5_8601d358,convnextv2_small,full,ce,mixup,40,32,0.0005,5e-05,0.05,10,2028,False,32415,0.9615468794795111,0.002272529369640057,0.8049036441959065,0.00840467351426926,0.7366125817434174,0.8876530996408398,0.8168359941944847,0.7905138339920948,0.784,19231.182322197
