run,method,youden_tile_max,auc_tile_max,cdw_detect_rate_15cm,false_high_rate_15cm,nuance_similarity_to_research,neg_presence_score,valid_pct_2018,min_2018,p05_2018,mean_2018,std_2018,p95_2018,grad_p95_2018,hf_p95_2018,neg_pct_2018,reproduce_agile_score,chm_2018_path
v5_agile_sadapt_g12_smooth,tin_linear_gauss,0.1140717322443156,0.4907247548134893,1.0,0.9680141634700502,0.7125551959445586,1.0,96.478788,-0.1999969631433487,-0.07961447536945343,0.03883148357272148,0.1281263530254364,0.23900455236434937,0.10979858785867691,0.08669325709342957,38.53768975621875,0.3853789719166125,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v5_agile_sadapt_g12_smooth/chm/2018/2018_tin_linear_gauss_chm.tif
v5_agile_sadapt_g12_smooth,tin_linear_sadapt_gauss,0.1140802736960024,0.4909210164554117,1.0,0.9678371200944232,0.70886347403412,1.0,96.474628,-0.1999969631433487,-0.08161133527755737,0.03697323799133301,0.12823252379894257,0.23676910996437073,0.11025488376617432,0.08703745156526566,39.85778727231786,0.3847094258773437,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v5_agile_sadapt_g12_smooth/chm/2018/2018_tin_linear_sadapt_gauss_chm.tif
v5_agile_sadapt_g12_smooth,natural_neighbor_linear_sadapt_gauss,0.1140802736960024,0.4909210164554117,1.0,0.9678371200944232,0.70886347403412,1.0,96.474628,-0.1999969631433487,-0.08161133527755737,0.03697323799133301,0.12823252379894257,0.23676910996437073,0.11025488376617432,0.08703745156526566,39.85778727231786,0.3847094258773437,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v5_agile_sadapt_g12_smooth/chm/2018/2018_natural_neighbor_linear_sadapt_gauss_chm.tif
v2_agile_sadapt_g08,tin_linear_gauss,0.1265500174555024,0.5057610261316563,1.0,0.9721451755680142,0.6517419802887138,1.0,94.682816,-0.1999969631433487,-0.08764666318893433,0.03839311748743057,0.14059439301490784,0.24518075585365295,0.1596357822418213,0.12067755311727524,40.3795594757131,0.3799713310582977,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v2_agile_sadapt_g08/chm/2018/2018_tin_linear_gauss_chm.tif
v2_agile_sadapt_g08,natural_neighbor_linear_sadapt_gauss,0.1265414760038156,0.5052221564036549,1.0,0.9719681321923872,0.6485079379792525,1.0,94.676236,-0.1999969631433487,-0.0894368514418602,0.03673873841762543,0.1407230645418167,0.24312245845794678,0.1603645384311676,0.12112907320261002,41.54002489072337,0.3792403156490588,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v2_agile_sadapt_g08/chm/2018/2018_natural_neighbor_linear_sadapt_gauss_chm.tif
v2_agile_sadapt_g08,tin_linear_sadapt_gauss,0.1265414760038156,0.5052221564036549,1.0,0.9719681321923872,0.6485079379792525,1.0,94.676236,-0.1999969631433487,-0.0894368514418602,0.03673873841762543,0.1407230645418167,0.24312245845794678,0.1603645384311676,0.12112907320261002,41.54002489072337,0.3792403156490588,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v2_agile_sadapt_g08/chm/2018/2018_tin_linear_sadapt_gauss_chm.tif
v3_agile_sadapt_g06_detail,tin_linear_gauss,0.1345268007439256,0.5162722063036,1.0,0.9764532310416052,0.6048511746463282,1.0,93.332156,-0.25,-0.09328001737594604,0.03759907931089401,0.148187518119812,0.23257486522197723,0.18540720641613007,0.13605879247188568,40.70771492731829,0.37484107179411885,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v3_agile_sadapt_g06_detail/chm/2018/2018_tin_linear_gauss_chm.tif
v4_agile_sadapt_g04_sharp,tin_linear_gauss,0.1492027230322293,0.546926966535246,1.0,0.9820596046031278,0.5521929067033886,1.0,91.615212,-0.29999542236328125,-0.09849576652050018,0.03620606288313866,0.16001631319522858,0.21591521799564362,0.2107505053281784,0.15852607786655426,41.92101634824575,0.37473598701853805,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v4_agile_sadapt_g04_sharp/chm/2018/2018_tin_linear_gauss_chm.tif
v3_agile_sadapt_g06_detail,tin_linear_sadapt_gauss,0.1343200976131043,0.5174820375667862,1.0,0.9762171732074358,0.6014031936094946,1.0,93.326084,-0.25,-0.09542413800954819,0.03567962348461151,0.148319810628891,0.22964495420455933,0.18651236593723297,0.13656502962112427,42.019103683810414,0.37435650441872725,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v3_agile_sadapt_g06_detail/chm/2018/2018_tin_linear_sadapt_gauss_chm.tif
v3_agile_sadapt_g06_detail,natural_neighbor_linear_sadapt_gauss,0.1343200976131043,0.5174820375667862,1.0,0.9762171732074358,0.6014031936094946,1.0,93.326084,-0.25,-0.09542413800954819,0.03567962348461151,0.148319810628891,0.22964495420455933,0.18651236593723297,0.13656502962112427,42.019103683810414,0.37435650441872725,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v3_agile_sadapt_g06_detail/chm/2018/2018_natural_neighbor_linear_sadapt_gauss_chm.tif
v4_agile_sadapt_g04_sharp,tin_linear_sadapt_gauss,0.1475576394373466,0.5437831240002198,1.0,0.9818235467689584,0.5495079322351546,1.0,91.610276,-0.29999542236328125,-0.10040823370218277,0.03446663171052933,0.16016054153442383,0.21273569762706757,0.21183612942695618,0.15903040766716003,43.09681590742069,0.3730298530348024,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v4_agile_sadapt_g04_sharp/chm/2018/2018_tin_linear_sadapt_gauss_chm.tif
v4_agile_sadapt_g04_sharp,natural_neighbor_linear_sadapt_gauss,0.1475576394373466,0.5437831240002198,1.0,0.9818235467689584,0.5495079322351546,1.0,91.610276,-0.29999542236328125,-0.10040823370218277,0.03446663171052933,0.16016054153442383,0.21273569762706757,0.21183612942695618,0.15903040766716003,43.09681590742069,0.3730298530348024,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v4_agile_sadapt_g04_sharp/chm/2018/2018_natural_neighbor_linear_sadapt_gauss_chm.tif
v1_reproduce_ref_g10,tin_linear_gauss,0.1177883531989633,0.5044215914127731,1.0,0.9711419297727945,0.7357583834366439,0.0,95.609228,0.0,9.693269930721726e-06,0.05985710397362709,0.12690924108028412,0.2579326033592224,0.1282818466424942,0.09830556064844131,0.0,0.2935906291236014,experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v1_reproduce_ref_g10/chm/2018/2018_tin_linear_gauss_chm.tif
